Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact
https://homestars.com/on/port%20coquitlam/drapery-curtains,17,https://homestars.com/on/port%20coquitlam/drapery-curtains?&page=2&,Drapery & Curtains,2846806,http://www.steamdrycanada.com/,/companies/2846806-steam-dry-canada?searched_category_id=343&service_area=2115489,"At Steam Dry Canada, our customers are our business. Whether it is our carpet, upholstery, area rug, furnace and duct cleaning, indoor air quality division or the flood rescue division, we strive to give our customers superior, detailed and precise results. Our service technicians will provide these superior services with integrity and sincere customer service. We don't send salespeople into our customers homes, we send qualified technicians that are focused on meeting and exceeding our customers expectations. We want to give our customers the most enjoyable in-home service that they have ever received and we are not satisfied until our customers are satisfied, guaranteed.",steam-dry-canada,2013-12-22T13:40:18.000-05:00,NA,,,,"Carpet Cleaning, Air Duct Cleaning, Furnace Cleaning, Upholstery Cleaning, Area Rug Cleaning",,,2002,80,"Visa, MasterCard, Debit",,,BBB,TRUE,TRUE,,,TRUE,FALSE,,1909242,Steam Dry Canada,795,596,4,9.01846,"Duct Cleaning, Air Duct Cleaning, Furnace Duct Cleaning, vent cleaning, air vent cleaning, duct, ducts, air duct, duct air, cleaning the air, cleaning air, what is duct cleaning, cleaning duct, air ducts, cleaning ducts, cleaning the ducts, ducts cleaning, ducts and vents, vent cleaning, cleaning vent, air conditioning duct, what is air duct cleaning, air duct cleaning in, air duct cleaning, cleaning air duct, duct cleaning company, duct cleaning price, ac duc cleaning, duct cleaning prices, duct and carpet cleaning, duct cleaning canada, home air duct cleaning, air duct cleaning services reviews, residential duct cleaning, how much is duct cleaning, professional duct cleaning toronto, home duct cleaning services, heating duct cleaning, duct cleaning machine, professional duct cleaning, duct clean, hvac duct cleaning, duct cleaning service, duck cleaning, ducts cleaning, fresh air duct cleaning, commercial duct cleaning, industrial duct cleaning, canada duct cleaning, duct cleaning costs,Carpet & Rug Cleaning & Repairing, Carpet Cleaning, Carpet Cleaners, Rug Cleaning, rug cleaners, area rug cleaners, area rug cleaning, persian rug cleaning, Rug repair, carpet repair, persian rug repair, persian carpet repair, area rug repair, carpet rug cleaning, oriental rug cleaning, area rug cleaning service, rug cleaning and repair, professional rug cleaning, carpet and rug cleaning, rug cleaning services, wool rug cleaning, rug cleaning service, carpet cleaning repair, rug cleaning company, rug clean, industrial carpet cleaning, area rug cleaning services, ,Drapery & Upholstery Cleaning, soft furnishing cleaning, curtain cleaning, drape cleaning, drapes cleaning, blind cleaning, furniture cleaning, upholstery cleaning, sofa cleaning, chesterfield cleaning, armchair cleaning, ,Drapery & Curtains, Drapery, Custom Drapery, Blinds, Curtain Rods, Drapery Hardware, Curtain stores, Drapes, custom window coverings, drapery fabric, soft furnishings, roman blinds, custom blinds,  custom curtains, the curtain, curtain, curtains, drapery, drapes, drapery curtain, curtain drapery, drapery and curtain, curtain and drapery, drapery curtains, curtains and drapery, curtains drapery, drapery and curtains, valence, drapes and curtains, curtains drapes, curtains & drapes, curtains and drapes, drapes curtains, drapes & curtains, draperies, curtain and drapes, ,",0,2014-04-08T14:34:25.000-04:00,steamdrycanada,FALSE,0,0,5,0,FALSE,d23b0390300260ae42109efb5ef01c1743a9e154,TRUE,2022-08-11T10:26:57.000-04:00,TRUE,TRUE,2115489,88.6867934808,343,NA,NA
https://homestars.com/on/port%20coquitlam/drapery-curtains,17,https://homestars.com/on/port%20coquitlam/drapery-curtains?&page=2&,Drapery & Curtains,2815297,https://www.homedepot.ca/en/home/home-services/home-depot-installer/window-covering-installation.html?categoryId=sc-windowsdoorsandgarage&serviceName=window-covering-installation,/companies/2815297-3d-interior-fashion-inc?searched_category_id=343&service_area=2179770,"We Bring The Home Depot Window Coverings Showroom to Your Home!  

Service is available across Canada (where a Home Depot store is located)

Service includes Shop at Home, Measure, and Installation.  

Over 100,000 Jobs Completed and growing
Over 1 Million Window Coverings Installed and growing

Home Depot Décor Consultants Customers Explore:
1. Product Options
2. Functionality
3. Patterns
4. Colours
5. Upgrades/Options
6. Light Control
7. Energy Efficiency
8. Privacy & Security
9. UV Protection
10. Installation Locations
11.Financing
12.Warranties",3d-interior-fashion-inc,2013-10-02T14:41:37.000-04:00,NA,NA,NA,"Blinds
Shades
Shutters
Drapery
3M Window Film
Wood Blinds
Faux Wood Blinds
Vertical Blinds
Metal Blinds
Panel Track
Rollers Shades
Horizontal Sheers
Cellular Shades
Pleated Shades
Natural Shades
Woven Shades
Roman Shades
Dual Shades
Alternate Shades
Tiebacks
Valances
Blind Motorization
Shutter Motorization
Shades Motorization
Battery Operated
Remote Control
Hardwired
Vinyl Shutters
Wood Shutters","Shop at Home, 
Window Coverings, Blind Installation, Blind Measure, Shutter Installation, Shutters Measure, Shades Installation, Shades Measure, Drapery Installation, Drapery Measure 
 ","Levolor
Springs
Bali
Maxxmar
Lutron
Home Decorators Collection (HDC)",,2007,300,All,,,,TRUE,TRUE,,,TRUE,FALSE,,1878242,3 D Interior Fashion Inc.,121,86,23,7.86047,"Shutters & Blinds, Window Shutter, Hurricane Shutter, Exterior Shutter, Window Blinds, Venetian Blinds, California shutters, plantation shutters, wood shutters, metal shutters,  roller blinds, roman blinds, custom blinds, sunscreens, vertical blinds, blind, curtains, shutter, for blinds, about blinds, blinds blinds blinds, blinds, blinds blinds, blinds to, and blinds, shades, shutters, the shutters, curtains and drapes, drapes and curtains, blinds and shade, blinds shade, window treatments and, window treatments, what are window treatments, shades and blinds, blinds & shades, shades blinds, shades and blinds, shades or blinds, blinds or shades, blinds and shades, window treatment, window coverings, window blinds, window blinds for, windows and blinds, window with blinds, blinds in window, blinds and window, blinds for window, ,Shades,Drapery & Curtains, Drapery, Custom Drapery, Blinds, Curtain Rods, Drapery Hardware, Curtain stores, Drapes, custom window coverings, drapery fabric, soft furnishings, roman blinds, custom blinds,  custom curtains, the curtain, curtain, curtains, drapery, drapes, drapery curtain, curtain drapery, drapery and curtain, curtain and drapery, drapery curtains, curtains and drapery, curtains drapery, drapery and curtains, valence, drapes and curtains, curtains drapes, curtains & drapes, curtains and drapes, drapes curtains, drapes & curtains, draperies, curtain and drapes, ,",0,2018-08-10T10:47:02.000-04:00,3dinterior,FALSE,0,0,24,0,FALSE,0460ede1c929bf109dc907c8791dee494e673aa0,TRUE,2019-04-04T22:29:38.000-04:00,TRUE,TRUE,2179770,76.1850163148,343,NA,NA
https://homestars.com/on/port%20coquitlam/drapery-curtains,17,https://homestars.com/on/port%20coquitlam/drapery-curtains?&page=2&,Drapery & Curtains,2898446,https://palmdrapery.ca/,/companies/2898446-palm-drapery-blinds?searched_category_id=343&service_area=2126162,,palm-drapery-blinds,2017-06-21T11:23:16.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,1960870,Palm Drapery & Blinds,8,6,19,9.66667,"Drapery & Curtains, Drapery, Custom Drapery, Blinds, Curtain Rods, Drapery Hardware, Curtain stores, Drapes, custom window coverings, drapery fabric, soft furnishings, roman blinds, custom blinds,  custom curtains, the curtain, curtain, curtains, drapery, drapes, drapery curtain, curtain drapery, drapery and curtain, curtain and drapery, drapery curtains, curtains and drapery, curtains drapery, drapery and curtains, valence, drapes and curtains, curtains drapes, curtains & drapes, curtains and drapes, drapes curtains, drapes & curtains, draperies, curtain and drapes, ,",0,2017-06-21T11:23:41.000-04:00,,FALSE,0,0,20,0,FALSE,abf3bcd3e713986c7696ac607f7b1e025d7c79b1,TRUE,NA,TRUE,TRUE,2126162,85.6007507167,343,NA,NA
https://homestars.com/on/port%20coquitlam/drapery-curtains,17,https://homestars.com/on/port%20coquitlam/drapery-curtains?&page=2&,Drapery & Curtains,2881252,NA,/companies/2881252-gracie-s-draperies-interiors?searched_category_id=343&service_area=2073410,NA,gracie-s-draperies-interiors,2015-12-17T18:38:03.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1943676,Gracie's Draperies & Interiors,0,0,0,NA,"Drapery & Curtains, Drapery, Custom Drapery, Blinds, Curtain Rods, Drapery Hardware, Curtain stores, Drapes, custom window coverings, drapery fabric, soft furnishings, roman blinds, custom blinds,  custom curtains, the curtain, curtain, curtains, drapery, drapes, drapery curtain, curtain drapery, drapery and curtain, curtain and drapery, drapery curtains, curtains and drapery, curtains drapery, drapery and curtains, valence, drapes and curtains, curtains drapes, curtains & drapes, curtains and drapes, drapes curtains, drapes & curtains, draperies, curtain and drapes, ,",0,NA,NA,FALSE,0,0,0,0,FALSE,871f851410e88826260a6b081f819f361376da6e,FALSE,NA,FALSE,FALSE,2073410,0,343,NA,NA
https://homestars.com/on/port%20coquitlam/drapery-curtains,17,https://homestars.com/on/port%20coquitlam/drapery-curtains?&page=2&,Drapery & Curtains,202189,NA,/companies/202189-country-habitat-interior-dsgn?searched_category_id=343&service_area=1819754,NA,country-habitat-interior-dsgn,2006-09-21T20:00:00.000-04:00,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,57907,Country Habitat Interior Dsgn,1,1,0,7,"Drapery & Curtains, Drapery, Custom Drapery, Blinds, Curtain Rods, Drapery Hardware, Curtain stores, Drapes, custom window coverings, drapery fabric, soft furnishings, roman blinds, custom blinds,  custom curtains, the curtain, curtain, curtains, drapery, drapes, drapery curtain, curtain drapery, drapery and curtain, curtain and drapery, drapery curtains, curtains and drapery, curtains drapery, drapery and curtains, valence, drapes and curtains, curtains drapes, curtains & drapes, curtains and drapes, drapes curtains, drapes & curtains, draperies, curtain and drapes, ,",0,NA,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,2011-02-08T18:16:29.000-05:00,FALSE,FALSE,1819754,6.5241758242,343,NA,NA
https://homestars.com/on/port%20coquitlam/drapery-curtains,17,https://homestars.com/on/port%20coquitlam/drapery-curtains?&page=2&,Drapery & Curtains,2646105,NA,/companies/2646105-gracie-s-interiors-ltd?searched_category_id=343&service_area=1659309,NA,gracie-s-interiors-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1709157,Gracie's Interiors Ltd,1,1,0,0,"Drapery & Curtains, Drapery, Custom Drapery, Blinds, Curtain Rods, Drapery Hardware, Curtain stores, Drapes, custom window coverings, drapery fabric, soft furnishings, roman blinds, custom blinds,  custom curtains, the curtain, curtain, curtains, drapery, drapes, drapery curtain, curtain drapery, drapery and curtain, curtain and drapery, drapery curtains, curtains and drapery, curtains drapery, drapery and curtains, valence, drapes and curtains, curtains drapes, curtains & drapes, curtains and drapes, drapes curtains, drapes & curtains, draperies, curtain and drapes, ,",0,NA,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,1659309,0.0,343,NA,NA
https://homestars.com/on/port%20coquitlam/drapery-curtains,17,https://homestars.com/on/port%20coquitlam/drapery-curtains?&page=2&,Drapery & Curtains,2618944,NA,/companies/2618944-andaru-interior?searched_category_id=343&service_area=1632148,NA,andaru-interior,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1681996,Andaru Interior,0,0,0,NA,"Drapery & Curtains, Drapery, Custom Drapery, Blinds, Curtain Rods, Drapery Hardware, Curtain stores, Drapes, custom window coverings, drapery fabric, soft furnishings, roman blinds, custom blinds,  custom curtains, the curtain, curtain, curtains, drapery, drapes, drapery curtain, curtain drapery, drapery and curtain, curtain and drapery, drapery curtains, curtains and drapery, curtains drapery, drapery and curtains, valence, drapes and curtains, curtains drapes, curtains & drapes, curtains and drapes, drapes curtains, drapes & curtains, draperies, curtain and drapes, ,",0,NA,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,1632148,0,343,NA,NA
https://homestars.com/on/port%20coquitlam/drapery-curtains,17,https://homestars.com/on/port%20coquitlam/drapery-curtains?&page=2&,Drapery & Curtains,2565255,NA,/companies/2565255-country-habitat?searched_category_id=343&service_area=1578459,NA,country-habitat,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1628307,Country Habitat,0,0,0,NA,"Drapery & Curtains, Drapery, Custom Drapery, Blinds, Curtain Rods, Drapery Hardware, Curtain stores, Drapes, custom window coverings, drapery fabric, soft furnishings, roman blinds, custom blinds,  custom curtains, the curtain, curtain, curtains, drapery, drapes, drapery curtain, curtain drapery, drapery and curtain, curtain and drapery, drapery curtains, curtains and drapery, curtains drapery, drapery and curtains, valence, drapes and curtains, curtains drapes, curtains & drapes, curtains and drapes, drapes curtains, drapes & curtains, draperies, curtain and drapes, ,",0,NA,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,1578459,0,343,NA,NA
https://homestars.com/on/port%20coquitlam/drapery-curtains,17,https://homestars.com/on/port%20coquitlam/drapery-curtains?&page=2&,Drapery & Curtains,2647820,NA,/companies/2647820-interior-delights-home-fashioncoquitlam?searched_category_id=343&service_area=1661024,NA,interior-delights-home-fashioncoquitlam,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1710872,Interior Delights-Home FashionCoquitlam,0,0,0,NA,"Drapery & Curtains, Drapery, Custom Drapery, Blinds, Curtain Rods, Drapery Hardware, Curtain stores, Drapes, custom window coverings, drapery fabric, soft furnishings, roman blinds, custom blinds,  custom curtains, the curtain, curtain, curtains, drapery, drapes, drapery curtain, curtain drapery, drapery and curtain, curtain and drapery, drapery curtains, curtains and drapery, curtains drapery, drapery and curtains, valence, drapes and curtains, curtains drapes, curtains & drapes, curtains and drapes, drapes curtains, drapes & curtains, draperies, curtain and drapes, ,",0,NA,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,1661024,0,343,NA,NA
https://homestars.com/on/port%20coquitlam/drapery-curtains,17,https://homestars.com/on/port%20coquitlam/drapery-curtains?&page=2&,Drapery & Curtains,202866,NA,/companies/202866-d-s-custom-draperies?searched_category_id=343&service_area=1819874,NA,d-s-custom-draperies,2006-09-21T20:00:00.000-04:00,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,58477,D&S Custom Draperies,0,0,0,NA,"Drapery & Curtains, Drapery, Custom Drapery, Blinds, Curtain Rods, Drapery Hardware, Curtain stores, Drapes, custom window coverings, drapery fabric, soft furnishings, roman blinds, custom blinds,  custom curtains, the curtain, curtain, curtains, drapery, drapes, drapery curtain, curtain drapery, drapery and curtain, curtain and drapery, drapery curtains, curtains and drapery, curtains drapery, drapery and curtains, valence, drapes and curtains, curtains drapes, curtains & drapes, curtains and drapes, drapes curtains, drapes & curtains, draperies, curtain and drapes, ,",0,NA,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,1819874,0,343,NA,NA
