Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,claimed_at
https://homestars.com/on/georgetown/appliance-repair,25,"c(""https://homestars.com/on/georgetown/appliance-repair?&page=2&"", ""https://homestars.com/on/georgetown/appliance-repair?&page=3&"")",Appliance Repair,2798932,https://www.rickappliancesrepair.ca,/companies/2798932-rick-appliance-repair-inc?searched_category_id=306&service_area=1862746,"Rick Appliance Repair is a family business in the GTA. We at Rick Appliance Repair specialize in repairs and services to all make and models for major leading brand names of domestic home appliances. 

Feel Free to email us any time at acappliancetech@gmail.com or rickappliances@gmail.com

We have built our reputation on word of mouth and pride ourselves on the long term relationships we've built with each and everyone of our customer's.

We are not just a company that carries out repairs, we are passionate and we value and understand the needs of our customer’s requirements. We never give up on repairing any appliance unless we know we have tried everything possible and we make sure at the end we guarantee to have a pleased customer.

We are fast and efficient, ensuring the best service and customer satisfaction. Servicing Toronto and surrounding area since 1989.",rick-appliance-repair-inc,2012-06-18T22:01:41.000-04:00,NA,"Toronto,mississauga,oakville,milton, Aurora, Concord, Etobicoke,  King City, North York, Maple, Richmond Hill, Scarborough, Thornhill, Vaughan, Woodbridge, ",9 to6,"fridges,stoves,washers,dryers,freezers,coolers, air-conditioners,most make and models ",reliable fast efficient service,almost all brands and make .no meile,,1989,2,"cheques , cash or etransfer,visa mastercardetc",george brown college and humber college,appliance tech government license ,"msa world ,servicematters membership",TRUE,TRUE,,,TRUE,FALSE,3monthes to 1year,1861984,Rick Appliance Repair,597,529,53,9.90548,"Appliance Repair, Appliance Repair Service, Appliance Repair Parts, Appliance Repair Manuals, Fridge Repair, Stove Repair, Oven Repair, Washer Repair, Dryer Repair, Microwave Repair, appliance repair, appliance parts, refrigerator repair, refrigerator parts, dishwasher repair, dishwasher parts, washing machine repair, washing machine parts, washer parts, dryer parts, dryer repair, stove repair, stove parts, water heater repair, appliance parts and repair, appliance parts, appliance installation, wrench, ,",0,Rickappliancerep,FALSE,0,0,47,100,FALSE,3eac2de88fb66ecb87154aa4f546f7b1c82736fb,TRUE,2022-11-19T14:12:42.000-05:00,TRUE,TRUE,1862746,99.1834477023,306,NA,NA,NA
https://homestars.com/on/georgetown/appliance-repair,25,"c(""https://homestars.com/on/georgetown/appliance-repair?&page=2&"", ""https://homestars.com/on/georgetown/appliance-repair?&page=3&"")",Appliance Repair,2808490,http://www.jsnappliances.ca,/companies/2808490-jsn-appliances-repair?searched_category_id=306&service_area=2209081,"JSN Appliances Repair Inc. is a family owned & operated business. Customer satisfaction is our first priority. Our committment is to ensure all our customers to receive the friendliest & most knowledgeable service available in the market. We understand the trust our customer place in us to deliver the most valuable service on a most consistent basis. We will continue to earn our customers trust by providing the most reliable, courteous service in the industry. We guarantee best rates & professional service. All our technicians are fully licenced & certified. We are specialized in front load washers, top load washers, laundry centers (Combo washer & dryer), dish washers, electric & gas dryers, electric & gas ranges, electric & gas cooktops, warming drawers, fridges, freezers.",jsn-appliances-repair,2013-04-09T10:31:25.000-04:00,NA,"Mississauga, Brampton, Caledon, Georgetown, Milton, Oakville, Burlington, Etobicoke, Woodbridge, Vaughan. ",,"Natural gas appliances, electric appliances.","Front load washers, top load washers, laundry centers (Combo washers & dryers), dish washers, electric & gas dryers, electric & gas ranges, electric & gas cooktops, warming drawers, fridges, freezers.","Frigidaire, Electrolux, GE, Beaumark, Hotpoint, Westinghouse, Kelvinator, Kenmore, Moffat, Inglis, Whirlpool, Maytag, Amana, KitchenAid, Jenn-Air, Samsung, Bosch, Dacor.","Fast, reliable & honest service. All the professional & required tools to finish the job in a professional & efficient manner.",2000,4,Cash or Debit only.,All required licenses & certificates for the field.,"Fully licensed, gas license, refrigeration license & appliances certificate. ",,TRUE,TRUE,,,TRUE,FALSE,30 days for labour - 90 days for parts with written invoice.,1871490,Jsn Appliances Repair,1204,1049,1304,9.9142,"Appliance Repair, Appliance Repair Service, Appliance Repair Parts, Appliance Repair Manuals, Fridge Repair, Stove Repair, Oven Repair, Washer Repair, Dryer Repair, Microwave Repair, appliance repair, appliance parts, refrigerator repair, refrigerator parts, dishwasher repair, dishwasher parts, washing machine repair, washing machine parts, washer parts, dryer parts, dryer repair, stove repair, stove parts, water heater repair, appliance parts and repair, appliance parts, appliance installation, wrench, ,",0,jsnappliances,FALSE,0,0,388,100,FALSE,22f81091ddae6317633b7f5210fbe55887334559,TRUE,2022-10-09T14:44:26.000-04:00,TRUE,TRUE,2209081,97.8980362342,306,NA,NA,NA
https://homestars.com/on/georgetown/appliance-repair,25,"c(""https://homestars.com/on/georgetown/appliance-repair?&page=2&"", ""https://homestars.com/on/georgetown/appliance-repair?&page=3&"")",Appliance Repair,2865735,https://www.fixappliances.ca,/companies/2865735-fix-appliances-ca?searched_category_id=306&service_area=2013548,"FIX Appliances CA believes everyone deserves high-quality and reliable home appliance repair service, and we’re proud to provide that to residents of the GTA and southern Ontario. 

Professional Expertise
 
Locally owned and operated, we expertly service over 30 brands of refrigerators, stoves, washers, dryers, dishwashers, range hoods and other household appliances utilizing the skills of a quality team of trained, professional appliance repair technicians. Each specialist is fully licensed and holds public liability insurance for your peace of mind.
 
Satisfaction Guaranteed
 
With over 15 years of repair experience, FIX Appliances CA has earned a high level of customer satisfaction and loyalty by delivering superior in-home service. When you contact us for your household appliance repairs, we’re sure you’ll join our growing list of satisfied customers and be pleased to refer us to your family and friends.
 
High-Quality Parts and Service
 
We are known in the community for using high-quality parts, so all our repairs are dependable and long-lasting. In addition, all our services are backed by comprehensive parts and labour warranties, so you’ll always be assured of receiving the best possible products and workmanship. Backed by an excellent support staff and trucks fully equipped with the latest technology, equipment and parts, our technicians will do their best to complete your appliance repair in one service call.",fix-appliances-ca,2015-02-02T23:14:12.000-05:00,NA,NA,8am-8pm,Fix Appliances CA ™ is providing Residential Home appliances Repair and Installation services on client side.,"TSSA licensed to repair and installation of Gas, Electric and Induction appliances, including refrigerators, wine coolers, freezers, dishwashers, washers, dryers, stoves, ovens, cooktops, ranges, microwaves, top range hoods, outdoor gas grills and more. Residential and Commercial.
","Fix Appliances CA ™ is authorized repair service for most home appliance manufacturers. We service over 70 brands of appliances, so if you own appliances from different brands you don’t need to call two companies. Most of our repair bookings are attended on the same day. AEG, AMANA, BOSCH, DACOR, FRIGIDAIRE, GE, ELECTROLUX, INGLIS, VIKING, JENN-AIR, KENMORE, KITCHENAID, LG, MAYTAG, MIELE, SAMSUNG, SUB-ZERO, THERMADOR, WHIRLPOOL and many more...",Our Fix Appliances CA Technicians are licensed gas fitters with current and updated Technical Standards and Safety Authority (TSSA) certificates.,2010,35,"Cash, Debit major Credit Cards", Humber College,"G2 - Gas Technician Certification, ODP ", TSSA,TRUE,TRUE,$$,89,TRUE,FALSE,Covered by up to 1-year warranty,1928160,Fix Appliances Ca,1324,1174,141,9.54003,"Appliance Repair, Appliance Repair Service, Appliance Repair Parts, Appliance Repair Manuals, Fridge Repair, Stove Repair, Oven Repair, Washer Repair, Dryer Repair, Microwave Repair, appliance repair, appliance parts, refrigerator repair, refrigerator parts, dishwasher repair, dishwasher parts, washing machine repair, washing machine parts, washer parts, dryer parts, dryer repair, stove repair, stove parts, water heater repair, appliance parts and repair, appliance parts, appliance installation, wrench, ,",1,fixappliances,FALSE,0,1,75,0,FALSE,cd0230f55b994934b8514343b63d2461b2c3d709,TRUE,2022-07-11T21:58:04.000-04:00,TRUE,TRUE,2013548,94.8357517548,306,NA,NA,NA
https://homestars.com/on/georgetown/appliance-repair,25,"c(""https://homestars.com/on/georgetown/appliance-repair?&page=2&"", ""https://homestars.com/on/georgetown/appliance-repair?&page=3&"")",Appliance Repair,2832993,,/companies/2832993-j-j-electric-and-appliances-repairs?searched_category_id=306&service_area=1926683,,j-j-electric-and-appliances-repairs,2013-10-27T16:11:51.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,1895564,J&J Electric And Appliances Repairs,524,413,1026,9.76513,"Appliance Repair, Appliance Repair Service, Appliance Repair Parts, Appliance Repair Manuals, Fridge Repair, Stove Repair, Oven Repair, Washer Repair, Dryer Repair, Microwave Repair, appliance repair, appliance parts, refrigerator repair, refrigerator parts, dishwasher repair, dishwasher parts, washing machine repair, washing machine parts, washer parts, dryer parts, dryer repair, stove repair, stove parts, water heater repair, appliance parts and repair, appliance parts, appliance installation, wrench, ,",0,jjelectric,FALSE,0,0,982,0,FALSE,9002e80bc7bf0752690478f31b028026ac536282,TRUE,2022-11-12T20:43:29.000-05:00,TRUE,TRUE,1926683,96.8126419087,306,NA,NA,NA
https://homestars.com/on/georgetown/appliance-repair,25,"c(""https://homestars.com/on/georgetown/appliance-repair?&page=2&"", ""https://homestars.com/on/georgetown/appliance-repair?&page=3&"")",Appliance Repair,2780137,http://www.eliteappliance.ca/en-ca/,/companies/2780137-elite-appliance-parts-and-service?searched_category_id=306&service_area=2208626,"Elite Appliance has been servicing home owners, appliance manufacturers and property management firms in Ontario for over 21 years. A combination of expertise, passion and a sense for great customer care has led the company to grow from its initial 2 employees to well over 50 while expanding from our original location in Toronto to a second location in Oakville, a third in Ottawa and now our fourth location in London Ontario. Elite Appliance has rapidly become the #1 appliance repair service in the Ontario, earning itself multiple awards for excellence in service from multiple appliance manufacturers.

All our Technicians are all Factory trained and certified by all major appliance manufacturers to perform warranty and COD repairs, when choosing an appliance servicer, protect your valuable appliances and ensure the company you hire is authorized and trained by the manufacturer of your appliance. Working closely with appliance manufacturers we have become the Largest independent Servicer in Ontario and the Choice of Consumers when it comes to Appliance Repair. We have quickly built an outstanding reputation for our professionalism and honesty. Our mandate has always been the same: to deliver ELITE services at competitive prices, promptly and to our customers complete satisfaction.",elite-appliance-parts-and-service,2010-07-12T17:43:07.000-04:00,NA,NA,,"Washers and dryers
Refrigerators and stoves
Dishwashers
Microwaves
","Appliance repair
Appliance parts department
Appliance repair service area in the GTA
","Electrolux
Frigidaire
GE
LG Electronics
Samsung
VIking
Whirlpool
Maytag
General Electric
",,2009,56,"Cash, Visa and MasterCard",,"ODP, G2","TSSA, United Servicers Assciation",TRUE,TRUE,,,TRUE,FALSE,,1843189,Elite Appliance Service – Toronto,1471,1266,10,9.23618,"Appliance Repair, Appliance Repair Service, Appliance Repair Parts, Appliance Repair Manuals, Fridge Repair, Stove Repair, Oven Repair, Washer Repair, Dryer Repair, Microwave Repair, appliance repair, appliance parts, refrigerator repair, refrigerator parts, dishwasher repair, dishwasher parts, washing machine repair, washing machine parts, washer parts, dryer parts, dryer repair, stove repair, stove parts, water heater repair, appliance parts and repair, appliance parts, appliance installation, wrench, ,",0,eliteappliance,FALSE,0,1,26,NA,FALSE,ac628a535c9f33092d2b097cb881c1e2ff70822b,TRUE,2022-11-10T15:52:54.000-05:00,TRUE,TRUE,2208626,90.0549080773,306,NA,NA,2011-01-29T09:16:48.000-05:00
https://homestars.com/on/georgetown/appliance-repair,25,"c(""https://homestars.com/on/georgetown/appliance-repair?&page=2&"", ""https://homestars.com/on/georgetown/appliance-repair?&page=3&"")",Appliance Repair,2872728,https://www.repaircare.ca/,/companies/2872728-repair-care?searched_category_id=306&service_area=2040590,"Hello and welcome to Repair Care! Thank you for considering us for your appliance repair needs. As homeowners ourselves we know how stressful it can be when something we depend on isn't in working order. As such, we want to be part of the solution and not add to the problem. At RepairCare strive to be fair, professional and ethical at all times, keeping customer service at the forefront of all we do. We are committed to providing a high level of quality service we can stand behind. Thank you for choosing RepairCare. We appreciate your business.

We are proud of our mission statement:
We Strive to be: FAIR PROFESSIONAL & ETHICAL, Keeping CUSTOMER SERVICE at the forefront of all that we do! going ABOVE & BEYOND when we can. Sometimes we don’t get It RIGHT but we are committed to making It RIGHT!",repair-care,2015-06-25T12:10:06.000-04:00,NA,"RepairCare provides services in the following cities and surrounding areas: <br/>

<br/>Toronto - Ajax, Aurora, Brampton, Barrie, Hamilton, North York, Richmond Hill, Markham, Mississauga Oshawa, Whitby & More.<br/>

<br/>Ottawa -  Castle Heights, Carlington, Ellwood, Forbes, Kenson Park, Heron Park, Riverview, Redwood, Vanier, Sheffield Glen & More. <br/>

<br/>Calgary - Airdrie, Cochrane, Foothills, Okotoks, Rocky View County, Chestermere, Langdon, Strathmore, Cranston, De Winton & More.<br/>

<br/>Edmonton - Leduc, Gibbons, Beaumont, Devon, Ft. Saskatchewan, St. Albert, Spruce Grove, Sherwood Park, Nisku, Morinville & More.<br/>

<br/>Vancouver - Richmond, Burnaby, Surrey, Delta, Langley. Coquitlam, Maple Ridge, Abbotsford, Mission, White Rock & More.",24-7,,"1) Fridge Repair
2) Stove Repair
3) Oven Repair
4) Dishwasher Repair
5) Cooktop Repair
6) Microwave Repair
7) Washer Repair
8) Dryer Repair
9) Fridge Install
10) Stove Install
11)) Oven Install
12) Cooktop Install
13) Dishwasher Install
14) Microwave Install
15) Washer Install
16) Dryer Install","Repair Care services all major appliance brands and our vast knowledge of each one allows us to serve you better! We work with the following brands: 
Bosch, Electrolux, Fisher & Paykel, Frigidaire, KitchenAid, Kenmore, Magic Chef, Maytag, Miele, Sub Zero, Thermador, Viking, Westinghouse, Whirlpool, Wolf and more. Our dedication to appliance repair sets us apart. Our skilled technicians span over numerous brands and understand issues specific to each one. RepairCare know what it can be like to have an appliance on the fritz, but worry not because our team is on it! We come equipped with the parts we need for each appliance and appliance brand. 
","RepairCare specializes in Fridge, Stove, Oven, Mixer, Dishwasher, Washer, Dryer, Appliance repairs regardless of make, model or style. We have a team of skilled technicians on standby ready to help you today. Our same day and emergency repair is outstanding. Repair Care technicians are easily able to determine and diagnose the cause of your appliance’s malfunction and eagerly await your call. Our vans are loaded and ready to go with all the parts you need for your major appliance. We specialize in all areas of your appliance repair needs. Many times, there are common, easy solutions to your appliance’s malfunction and our technicians are able to quickly fix the problem. Choose RepairCare to get the job done right!
",2005,10,"Debit, Credit",G2 Gas Certificate ,,,TRUE,FALSE,,$120,TRUE,FALSE,90 days on parts and labour,1935152,Repair Care,633,506,73,9.07905,"Appliance Repair, Appliance Repair Service, Appliance Repair Parts, Appliance Repair Manuals, Fridge Repair, Stove Repair, Oven Repair, Washer Repair, Dryer Repair, Microwave Repair, appliance repair, appliance parts, refrigerator repair, refrigerator parts, dishwasher repair, dishwasher parts, washing machine repair, washing machine parts, washer parts, dryer parts, dryer repair, stove repair, stove parts, water heater repair, appliance parts and repair, appliance parts, appliance installation, wrench, ,",1,repaircare,FALSE,0,0,55,0,FALSE,cd84a4e6a16c7ae67bd06dbf13bc75365a603f39,TRUE,2022-02-01T16:46:14.000-05:00,TRUE,TRUE,2040590,90.4708930302,306,NA,NA,NA
https://homestars.com/on/georgetown/appliance-repair,25,"c(""https://homestars.com/on/georgetown/appliance-repair?&page=2&"", ""https://homestars.com/on/georgetown/appliance-repair?&page=3&"")",Appliance Repair,2891218,http://www.manwithawrench.com,/companies/2891218-man-with-a-wrench?searched_category_id=306&service_area=2115130,"We are committed to providing an excellent service across Toronto, GTA and nearby regions. In our decade of experience, we have learned that you can get your appliance, HVAC, electrical and plumbing issues repaired quickly, effectively, and relatively inexpensively. Our specialty is to provide quick solutions to all your appliance, plumbing, HVAC and electrical repairs and to achieve the highest possible customer satisfaction from our services. Our punctual and friendly staff will always provide budget-friendly repairs.

WHY DO OUR CUSTOMERS LOVE US?
""Slow is smooth, smooth is fast."" This is our motto because we take exceptional care in locating your appliance and plumbing faults to have them fixed within the shortest possible period. We encourage our customers to watch us as we perform the repair and to ask as many questions as possible while we are on site. This will ensure the best service on the market because you will be educated on all of your appliances at no extra cost.
Man With a Wrench always provides an above and beyond service because we do not simply tackle the problem at hand. We also find its underlying cause. Most importantly, we provide our customers with education as to how to prevent such problems from occurring in the future. Our budget-friendly repairs are second to none and we will provide you with quick solutions to all of your appliance repair needs. Our goal is to delight you with our service. If you don’t go shouting from the rooftops how happy you are with your service following a work order, we will be very disappointed, for our business runs on word-of-mouth referrals and we strive to ensure you’re happy enough to tell your friends about our service

WHAT APPLIANCE REPAIR SERVICES DO WE OFFER?
We will repair any major appliance and any major brand for: 
- Refrigerators repair 
- Stove repair 
- Oven repair 
- Washing Machine repair 
- Dryer repair 
- Dishwasher repair 
- Microwave repair

We repair all makes and models, we even repair Miele appliances! Other brands we service regularly: Frigidaire, Simmons, Samsung, LG, GE, Kenmore, Thermadore, Whirlpool, Kenmore, Maytag, Moffat, Dacor, Fisher and Paykel, Thermador, Electrolux, Bosch, Sub Zero, Amana, Jenn-Air, Wolf, AEG, Magic Chef, Viking, Blomberg, Admiral, Westing House, Ariston, MagicChef, Inglis - IF THE Brand is not on the list WE CAN DO IT (we just missed it).

WHAT PLUMBING SERVICES DO WE OFFER?
- Toilet repair 
- Drain cleaning
- Plumbing repairs
- New installations (sinks, toilets, showers) 
- Water pumps
- Water heaters
- Frozen pipes
- Re-piping
- Burst Pipes
- Leak Detection 
- Inspections

We service Toronto and all surrounding areas. That includes: Toronto, Whitby, Oshawa, Pickering, Scarborough, Markham, Aurora, Newmarket, Brampton, Bradford, Oakville, Mississauga, Etobicoke, North York, East York, GTA, Burlington, Barrie, Innisfil and all of the cities that surround the cities listed


We look forward to servicing your appliance and plumbing HVAC and electrical repair needs! ",man-with-a-wrench,2016-10-20T23:46:00.000-04:00,NA,NA,NA,"Fridges, Oven, Range, Stove, Cooktop, Refrigerator, Freezer, Dishwasher, Washing Machine, Dryer, Microwaves, Gas Dryer, washer, gas stove, gas range, hood vent","Refrigerator repair, stove repair, oven repair, Gas stove repair, Gas oven repair, washing machine repair, dryer repair, gas dryer repair, dishwasher repair, toilet repair, drain cleaning, plumbing repairs, new installations (sinks, toilets, showers), water pumps, water heaters, frozen pipes, re-piping, burst Pipes, leak Detection, inspections","Frigidaire, Simmons, Samsung, LG, GE, Kenmore, Thermadore, Whirlpool, Kenmore, Maytag, Moffat, Dacor, Fisher and Paykel, Thermador, Electrolux, Bosch, Sub Zero, Amana, Jenn-Air, Wolf, AEG, Magic chef, Viking, Blomberg, Admiral, Westing House, Ariston, MagicChef, Inglis","Appliance Repair 
Plumbing
HVAC
Electrical",2015,4,"All Major Credit Cards, INTERAC, e-INTERAC, Cash",,All of them,,TRUE,FALSE,,,TRUE,FALSE,Up to 1 Year Repair Warranty,1953642,Man With A Wrench,325,285,48,9.75439,"Appliance Repair, Appliance Repair Service, Appliance Repair Parts, Appliance Repair Manuals, Fridge Repair, Stove Repair, Oven Repair, Washer Repair, Dryer Repair, Microwave Repair, appliance repair, appliance parts, refrigerator repair, refrigerator parts, dishwasher repair, dishwasher parts, washing machine repair, washing machine parts, washer parts, dryer parts, dryer repair, stove repair, stove parts, water heater repair, appliance parts and repair, appliance parts, appliance installation, wrench, ,Appliance Retailers, Home Appliances, Kitchen Appliances, Appliance Stores, Refrigerator, Fridge, Stove, Oven, Washer, Dryer, Microwave, refrigerator, appliance, stove, stoves, appliances, freezer, dishwasher, kitchenaid, fridgidaire, cooktop, appliance parts, electric appliance, electric appliances, appliance shop, appliance store, appliance installation,,Electricians, Residential Electricians, Electrical Contractors, Electrical Wiring, knob and tube contractors, electrician, which electrician, electrical companies, electrical work, electrical contractors, jobs electrician, electrical contractor, electrical services, electric contractors, electric contractor, generator, generators, ,Solar Panels, Solar Panels, Solar Panel, ,Solar Water Heating, Solar Water Heating, Solar Water Heating Installation, Heating,Electrical Vehicle Charging, Electrical Vehicle Charging, Electrical Vehicle, Charging,",0,appliancerepairs,FALSE,0,0,62,0,FALSE,6cc9e97763c46df141125caf4bd1c0b2d23c313d,TRUE,2022-06-03T22:24:24.000-04:00,TRUE,TRUE,2115130,96.4121737311,306,NA,NA,NA
https://homestars.com/on/georgetown/appliance-repair,25,"c(""https://homestars.com/on/georgetown/appliance-repair?&page=2&"", ""https://homestars.com/on/georgetown/appliance-repair?&page=3&"")",Appliance Repair,2920322,http://maydone.com,/companies/2920322-maydone-appliance-repair?searched_category_id=306&service_area=2172748,"Maydone Appliance Repair is a Professional Appliance Repair and Installation Service! Same Day Service offering a free diagnosis with repair! You can get it done fast or schedule a visit in the most suitable time for you. GET $30 off your first Repair with us!

Enjoy your valuable time with what matters the most while we are taking care of your appliances. ",maydone-appliance-repair,2018-08-09T23:28:14.000-04:00,NA,NA,NA,,"Professional Appliance Services:
Repair,
Installation,
Refrigerant charge.","Our proficiency is unlimited and we work with all Residential and Commercial brands: 
Admiral,
AEG,
Amana,
Beaumark,
Blomberg,
Bosch,
Dacor,
Electrolux,
Fisher & Paykel,
Frigidaire,
Gaggenau,
GE,
Inglis,
Insignia,
Jenn-Air,
Kenmore,
Kitchenaid,
LG,
Magic Chef,
Maytag,
Meile,
Moffat,
Roper,
Samsung,
Sub Zero,
Thermador,
Viking,
Westinghouse,
Whirlpool,
Wolf,
Hotpoint,
Miele,
Tappan,
Danby,
Haier,
Ariston,
White Westinghouse,
Porter Charles,
Fulgar and Milano,
Ikea,
Asko,
Daewoo.",Residential Appliance Repair and Installation and Commercial Appliance Repair,2018,20,"Credit Card, Bank Transfer, Debit",,Gas; HVAC; Refrigerant works. ,,TRUE,FALSE,,80,TRUE,FALSE,180 days,1982503,Maydone Appliance Repair,293,264,76,9.54924,"Appliance Repair, Appliance Repair Service, Appliance Repair Parts, Appliance Repair Manuals, Fridge Repair, Stove Repair, Oven Repair, Washer Repair, Dryer Repair, Microwave Repair, appliance repair, appliance parts, refrigerator repair, refrigerator parts, dishwasher repair, dishwasher parts, washing machine repair, washing machine parts, washer parts, dryer parts, dryer repair, stove repair, stove parts, water heater repair, appliance parts and repair, appliance parts, appliance installation, wrench, ,Handyman Services, Handyman, Home Handyman, Handyman Business, Repairmen, Repairman, house doctor, how to be a handyman, what is a handyman, the handyman, a handyman, handy man, the handy man, handy handyman, home repair, in home repair, handymen, the handymen, improvements home, home remodeling, home improvement remodeling, remodeling home improvement, hand man, kitchen and remodeling, home improvement and repair, home repair and improvement, home improvement repair, remodeling and repair, home remodeling and repair, home repair and remodeling, home repair remodeling, home remodeling repair, home improvements remodeling, repair house, house repair, house remodeling, house improvements, property maintenance, home maintenance, home repairs, in home repairs, repairman, services handyman, the handyman service, service handyman, handyman service, handy services, house repairs, repairs house, repair homes, service contractors, mr fix it, mud room, mudroom, caulking,",0,,FALSE,0,0,78,0,FALSE,2caa3ba2a00f485282aba6ecd18137d6a58bf1d6,TRUE,2022-10-28T15:22:40.000-04:00,TRUE,TRUE,2172748,95.6829807093,306,NA,NA,2018-08-09T23:28:52.000-04:00
https://homestars.com/on/georgetown/appliance-repair,25,"c(""https://homestars.com/on/georgetown/appliance-repair?&page=2&"", ""https://homestars.com/on/georgetown/appliance-repair?&page=3&"")",Appliance Repair,2942624,https://www.icarerepair.ca/,/companies/2942624-icare-appliance-repair?searched_category_id=306&service_area=2259159,"Since our founding, we’ve worked with numerous clients throughout the area. Great service begins and ends with experienced and friendly professionals, which is why we put so much consideration into selecting only the best to join our team. We complete projects efficiently and on schedule, and go above and beyond to form lasting relationships with our clients.",icare-appliance-repair,2020-04-22T11:34:23.000-04:00,NA,NA,NA,,Residential and commercial appliance repair,"Whirlpool, Maytag, KitchenAid, LG",,2013,6,"Credit, Debit, E-Transfer, Cash",,"Domestic Appliance Repair, Sealed Systems, Gas Appliances",,TRUE,FALSE,,,FALSE,FALSE,,2004798,iCare Appliance Repair,247,223,1,9.56502,"Appliance Repair, Appliance Repair Service, Appliance Repair Parts, Appliance Repair Manuals, Fridge Repair, Stove Repair, Oven Repair, Washer Repair, Dryer Repair, Microwave Repair, appliance repair, appliance parts, refrigerator repair, refrigerator parts, dishwasher repair, dishwasher parts, washing machine repair, washing machine parts, washer parts, dryer parts, dryer repair, stove repair, stove parts, water heater repair, appliance parts and repair, appliance parts, appliance installation, wrench, ,",0,iCareRepair,FALSE,0,0,2,0,FALSE,dd0971eabc99ed5c18ab44a53b3eaa1062f821b2,TRUE,2022-09-24T21:44:22.000-04:00,TRUE,TRUE,2259159,95.2021787075,306,NA,NA,2020-04-22T11:35:54.000-04:00
https://homestars.com/on/georgetown/appliance-repair,25,"c(""https://homestars.com/on/georgetown/appliance-repair?&page=2&"", ""https://homestars.com/on/georgetown/appliance-repair?&page=3&"")",Appliance Repair,212476,http://www.kampenappliance.com,/companies/212476-kampen-appliance-service?searched_category_id=306&service_area=2104167,"*** PROUDLY SERVICING: SUBZERO, WOLF, ASKO, SIRIUS BRAND APPLIANCES ONLY ***

1968 Kampen Appliance Service has been a family owned business and truly treat our customers honestly and fairly. Kampen Appliance Service has been dedicated to servicing Sub Zero and Wolf products for over 30 years and was recognized for that high level of service by being chosen as a Premier Factory Certified Service Centre.

We have the honour of being the only Premier Factory Certified Service Centre in the Greater Toronto and Hamilton Area (GTHA) and have a very close working relationship with the Sub Zero and Wolf factories. We must meet strict service requirements to maintain the ""certified"" designation.",kampen-appliance-service,2008-01-23T10:30:11.000-05:00,NA,"Brampton, Concord, Etobicoke, Markham, Mississauga, Newmarket, North York, Oakville, Richmond Hill, Scarborough, Thornhill, Toronto, Unionville, Vaughan, Woodbridge",Mon-Fri 8:30-5:30,"fridge,stove,washer,dryer,range,icemaker,microwave,cooktops,steamoven,fryer,warming drawer,","repair,technical support condensor cleaning, range service, fridge service","subzero,wolf,asko,sirius","Subzero, Wolf, Cove, Asko",1968,20,"master card, visa debit, e-transfer",,,,TRUE,TRUE,,,TRUE,FALSE,1 years parts 60 day labor.,66293,Kampen Appliance Service,318,252,10,9.59127,"Appliance Repair, Appliance Repair Service, Appliance Repair Parts, Appliance Repair Manuals, Fridge Repair, Stove Repair, Oven Repair, Washer Repair, Dryer Repair, Microwave Repair, appliance repair, appliance parts, refrigerator repair, refrigerator parts, dishwasher repair, dishwasher parts, washing machine repair, washing machine parts, washer parts, dryer parts, dryer repair, stove repair, stove parts, water heater repair, appliance parts and repair, appliance parts, appliance installation, wrench, ,",0,kampen,FALSE,0,0,11,NA,FALSE,1eefc0310fb5c3d3d27bb1b4ee8f987a418c3be5,TRUE,2022-10-20T19:27:31.000-04:00,TRUE,TRUE,2104167,86.7116355579,306,NA,NA,2015-03-13T13:29:37.000-04:00
